,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
64,Nepal,Hong Kong,Nepal,79 runs,Mulpani,"Oct 21, 2023",T20I # 2324
65,Nepal,Hong Kong,Nepal,6 wickets,Mulpani,"Oct 19, 2023",T20I # 2321
66,Nepal,U.A.E.,Nepal,7 wickets,Mulpani,"Oct 18, 2023",T20I # 2319
67,India,Nepal,India,23 runs,Hangzhou,"Oct 3, 2023",T20I # 2278
68,Maldives,Nepal,Nepal,138 runs,Hangzhou,"Oct 1, 2023",T20I # 2269
69,Mongolia,Nepal,Nepal,273 runs,Hangzhou,"Sep 27, 2023",T20I # 2255
70,Hong Kong,Nepal,Hong Kong,73 runs,Mong Kok,"Mar 9, 2024",T20I # 2507
71,Nepal,Netherlands,Netherlands,4 wickets,Kirtipur,"Mar 5, 2024",T20I # 2497
72,Nepal,Netherlands,Nepal,6 wickets,Kirtipur,"Mar 2, 2024",T20I # 2492
73,Nepal,Namibia,Nepal,3 runs,Kirtipur,"Mar 1, 2024",T20I # 2490
74,Nepal,Netherlands,Netherlands,2 runs,Kirtipur,"Feb 28, 2024",T20I # 2487
75,Nepal,Namibia,Namibia,20 runs,Kirtipur,"Feb 27, 2024",T20I # 2485
